 kgrid  ValNew  Policy 
     0.85   -5.1485      0.85
     0.86  -4.67831      0.85
     0.87    -4.261      0.85
     0.88  -3.88957      0.85
     0.89  -3.55805      0.85
      0.9   -3.2614      0.85
     0.91  -2.99527      0.85
     0.92  -2.75596      0.85
     0.93  -2.54027      0.85
     0.94  -2.34545      0.85
     0.95   -2.1691      0.85
     0.96  -2.00916      0.85
     0.97  -1.86381      0.85
     0.98  -1.73148      0.85
     0.99  -1.61078      0.85
        1  -1.50051      0.85
     1.01  -1.39959      0.85
     1.02  -1.30709      0.85
     1.03  -1.22217      0.85
     1.04   -1.1441      0.85
     1.05  -1.07221      0.85
     1.06  -1.00593      0.85
     1.07 -0.944734      0.85
     1.08 -0.888163      0.85
     1.09 -0.835801      0.85
      1.1 -0.787274      0.85
     1.11 -0.742248      0.85
     1.12 -0.700424      0.85
     1.13 -0.661529      0.85
     1.14 -0.625321      0.85
     1.15 -0.591578      0.85
