 kgrid  ValNew  Policy 
    0.85 -18.0395     0.88
    0.86 -17.3734     0.89
    0.87 -16.7258      0.9
    0.88 -16.0951      0.9
    0.89 -15.5187     0.91
     0.9 -14.9534     0.92
    0.91 -14.4144     0.92
    0.92 -13.9113     0.93
    0.93 -13.4179     0.94
    0.94 -12.9545     0.94
    0.95 -12.5123     0.95
    0.96 -12.0811     0.96
    0.97 -11.6806     0.96
    0.98 -11.2902     0.97
    0.99 -10.9121     0.98
       1 -10.5619     0.99
    1.01 -10.2185     0.99
    1.02 -9.88563        1
    1.03  -9.5747     1.01
    1.04 -9.27477     1.01
    1.05 -8.98073     1.02
    1.06 -8.70381     1.03
    1.07 -8.44012     1.04
    1.08 -8.18013     1.04
    1.09 -7.93277     1.05
     1.1 -7.69842     1.06
    1.11 -7.46937     1.06
    1.12 -7.24781     1.07
    1.13  -7.0389     1.08
    1.14 -6.83634     1.08
    1.15 -6.63736     1.09
