 kgrid  ValNew  Policy 
    0.85 -13.2013     0.86
    0.86 -12.4902     0.87
    0.87 -11.8424     0.87
    0.88 -11.2194     0.88
    0.89 -10.6571     0.88
     0.9 -10.1094     0.89
    0.91 -9.61901     0.89
    0.92  -9.1358      0.9
    0.93 -8.70229     0.91
    0.94 -8.27882     0.91
    0.95 -7.89419     0.92
    0.96 -7.52183     0.92
    0.97 -7.17956     0.93
    0.98 -6.85097     0.93
    0.99 -6.54553     0.94
       1 -6.25458     0.94
    1.01 -5.98127     0.95
    1.02 -5.72283     0.95
    1.03 -5.47764     0.96
    1.04 -5.24737     0.96
    1.05 -5.02688     0.97
    1.06 -4.82112     0.97
    1.07 -4.62238     0.98
    1.08 -4.43802     0.98
    1.09 -4.25848     0.99
     1.1 -4.09286     0.99
    1.11 -3.93031        1
    1.12 -3.78116        1
    1.13  -3.6337     1.01
    1.14 -3.49842     1.02
    1.15 -3.36503     1.02
