 kgrid  ValNew  Policy 
    0.85 -18.6226     0.85
    0.86 -17.3826     0.85
    0.87 -16.3063     0.85
    0.88 -15.3684     0.85
    0.89 -14.5481     0.85
     0.9 -13.7536     0.86
    0.91 -13.0429     0.86
    0.92 -12.3486     0.87
    0.93 -11.7303     0.87
    0.94 -11.1213     0.88
    0.95 -10.5787     0.89
    0.96  -10.045     0.89
    0.97 -9.56605      0.9
    0.98 -9.09772      0.9
    0.99 -8.67364     0.91
       1  -8.2612     0.91
    1.01 -7.88452     0.92
    1.02 -7.52005     0.92
    1.03 -7.18452     0.93
    1.04 -6.86139     0.93
    1.05 -6.56169     0.94
    1.06 -6.27433     0.94
    1.07 -6.00593     0.95
    1.08 -5.74962     0.95
    1.09 -5.50866     0.96
     1.1 -5.27942     0.96
    1.11 -5.06257     0.97
    1.12 -4.85699     0.97
    1.13 -4.66139     0.98
    1.14 -4.47656     0.98
    1.15 -4.29976     0.99
