 kgrid  ValNew  Policy 
    0.85 -11.9115     0.87
    0.86  -11.283     0.88
    0.87 -10.7092     0.88
    0.88 -10.1569     0.89
    0.89  -9.6578     0.89
     0.9 -9.17076      0.9
    0.91 -8.73357     0.91
    0.92 -8.30382     0.91
    0.93 -7.91611     0.92
    0.94 -7.53895     0.92
    0.95 -7.19408     0.93
    0.96 -6.86185     0.93
    0.97 -6.55421     0.94
    0.98 -6.26053     0.94
    0.99 -5.98535     0.95
       1 -5.72489     0.95
    1.01 -5.47811     0.96
    1.02 -5.24638     0.96
    1.03 -5.02453     0.97
    1.04 -4.81775     0.97
    1.05 -4.61783     0.98
    1.06  -4.4328     0.98
    1.07 -4.25224     0.99
    1.08 -4.08623     0.99
    1.09  -3.9228        1
     1.1 -3.77305     1.01
    1.11 -3.62524     1.01
    1.12 -3.48921     1.02
    1.13 -3.35587     1.02
    1.14 -3.23207     1.03
    1.15 -3.11152     1.03
