 kgrid  ValNew  Policy 
     0.85  -7.53791      0.85
     0.86  -6.79282      0.85
     0.87  -6.13815      0.85
     0.88  -5.56099      0.85
     0.89  -5.05055      0.85
      0.9  -4.59775      0.85
     0.91  -4.19491      0.85
     0.92  -3.83554      0.85
     0.93   -3.5141      0.85
     0.94  -3.22587      0.85
     0.95  -2.96681      0.85
     0.96  -2.73341      0.85
     0.97  -2.52268      0.85
     0.98  -2.33202      0.85
     0.99  -2.15916      0.85
        1  -2.00214      0.85
     1.01  -1.85924      0.85
     1.02  -1.72896      0.85
     1.03  -1.60997      0.85
     1.04  -1.50112      0.85
     1.05  -1.40138      0.85
     1.06  -1.30985      0.85
     1.07  -1.22573      0.85
     1.08  -1.14831      0.85
     1.09  -1.07694      0.85
      1.1  -1.01108      0.85
     1.11 -0.950212      0.85
     1.12 -0.893892      0.85
     1.13 -0.841714      0.85
     1.14 -0.793316      0.85
     1.15 -0.748374      0.85
