 kgrid  ValNew  Policy 
    0.85   -19.43     0.87
    0.86  -18.688     0.88
    0.87 -17.9623     0.88
    0.88 -17.3023     0.89
    0.89 -16.6607      0.9
     0.9 -16.0421      0.9
    0.91 -15.4706     0.91
    0.92 -14.9101     0.92
    0.93 -14.3796     0.92
    0.94 -13.8805     0.93
    0.95 -13.3909     0.94
    0.96 -12.9335     0.94
    0.97 -12.4945     0.95
    0.98 -12.0664     0.96
    0.99   -11.67     0.96
       1 -11.2823     0.97
    1.01 -10.9067     0.98
    1.02 -10.5589     0.99
    1.03 -10.2178     0.99
    1.04 -9.88707        1
    1.05 -9.57813     1.01
    1.06 -9.27964     1.01
    1.07  -8.9873     1.02
    1.08 -8.71203     1.03
    1.09  -8.4497     1.03
     1.1 -8.19046     1.04
    1.11 -7.94448     1.05
    1.12 -7.71145     1.06
    1.13 -7.48243     1.06
    1.14 -7.26202     1.07
    1.15 -7.05421     1.08
