 kgrid  ValNew  Policy 
     0.85   -11.489      0.85
     0.86  -10.2489      0.85
     0.87  -9.17266      0.85
     0.88  -8.23478      0.85
     0.89  -7.41442      0.85
      0.9  -6.69427      0.85
     0.91  -6.05996      0.85
     0.92  -5.49945      0.85
     0.93  -5.00264      0.85
     0.94  -4.56101      0.85
     0.95  -4.16733      0.85
     0.96  -3.81548      0.85
     0.97   -3.5002      0.85
     0.98  -3.21702      0.85
     0.99  -2.96208      0.85
        1  -2.73205      0.85
     1.01  -2.52406      0.85
     1.02  -2.33561      0.85
     1.03  -2.16454      0.85
     1.04  -2.00893      0.85
     1.05  -1.86715      0.85
     1.06  -1.73774      0.85
     1.07  -1.61942      0.85
     1.08  -1.51106      0.85
     1.09  -1.41167      0.85
      1.1  -1.32038      0.85
     1.11  -1.23639      0.85
     1.12  -1.15902      0.85
     1.13  -1.08764      0.85
     1.14  -1.02171      0.85
     1.15 -0.960736      0.85
