 kgrid  ValNew  Policy 
     0.85  -9.25458      0.85
     0.86  -8.29984      0.85
     0.87  -7.46582      0.85
     0.88  -6.73459      0.85
     0.89  -6.09128      0.85
      0.9  -5.52344      0.85
     0.91  -5.02066      0.85
     0.92  -4.57416      0.85
     0.93  -4.17652      0.85
     0.94  -3.82144      0.85
     0.95  -3.50354      0.85
     0.96  -3.21823      0.85
     0.97  -2.96158      0.85
     0.98  -2.73017      0.85
     0.99  -2.52107      0.85
        1  -2.33175      0.85
     1.01  -2.15998      0.85
     1.02  -2.00385      0.85
     1.03  -1.86167      0.85
     1.04  -1.73196      0.85
     1.05  -1.61343      0.85
     1.06  -1.50494      0.85
     1.07  -1.40548      0.85
     1.08  -1.31416      0.85
     1.09  -1.23018      0.85
      1.1  -1.15286      0.85
     1.11  -1.08155      0.85
     1.12  -1.01571      0.85
     1.13 -0.954846      0.85
     1.14 -0.898502      0.85
     1.15 -0.846281      0.85
