 kgrid  ValNew  Policy 
    0.85 -14.6716     0.85
    0.86 -13.8642     0.86
    0.87 -13.1304     0.86
    0.88 -12.4254     0.87
    0.89 -11.7898     0.87
     0.9 -11.1719     0.88
    0.91 -10.6188     0.88
    0.92 -10.0753     0.89
    0.93 -9.58917      0.9
    0.94 -9.11228      0.9
    0.95 -8.68216     0.91
    0.96 -8.26361     0.91
    0.97 -7.88184     0.92
    0.98 -7.51315     0.92
    0.99 -7.17329     0.93
       1 -6.84739     0.93
    1.01   -6.544     0.94
    1.02 -6.25499     0.94
    1.03 -5.98342     0.95
    1.04 -5.72632     0.95
    1.05 -5.48263     0.96
    1.06 -5.25325     0.96
    1.07 -5.03404     0.97
    1.08 -4.82881     0.97
    1.09 -4.63118     0.98
     1.1 -4.44706     0.98
    1.11 -4.26848     0.99
    1.12  -4.1029     0.99
    1.13 -3.94119        1
    1.14  -3.7919        1
    1.15 -3.64518     1.01
