 kgrid  ValNew  Policy 
    0.85 -20.9695     0.86
    0.86 -20.1319     0.86
    0.87 -19.3504     0.87
    0.88 -18.6154     0.88
    0.89 -17.9034     0.88
     0.9 -17.2491     0.89
    0.91  -16.613      0.9
    0.92 -16.0041      0.9
    0.93 -15.4371     0.91
    0.94  -14.881     0.92
    0.95 -14.3573     0.92
    0.96 -13.8618     0.93
    0.97 -13.3757     0.94
    0.98 -12.9229     0.94
    0.99 -12.4868     0.95
       1 -12.0616     0.96
    1.01 -11.6681     0.96
    1.02 -11.2828     0.97
    1.03 -10.9096     0.98
    1.04  -10.564     0.99
    1.05 -10.2245     0.99
    1.06 -9.89563        1
    1.07 -9.58856     1.01
    1.08 -9.29075     1.01
    1.09       -9     1.02
     1.1 -8.72628     1.03
    1.11 -8.46404     1.03
    1.12 -8.20613     1.04
    1.13 -7.96143     1.05
    1.14 -7.72965     1.05
    1.15 -7.50015     1.06
