 kgrid  ValNew  Policy 
    0.85 -24.9521     0.85
    0.86 -23.7121     0.85
    0.87 -22.6358     0.85
    0.88 -21.6979     0.85
    0.89 -20.8305     0.86
     0.9 -20.0213     0.86
    0.91 -19.2523     0.87
    0.92 -18.5292     0.88
    0.93 -17.8369     0.88
    0.94 -17.1926     0.89
    0.95  -16.566      0.9
    0.96 -15.9703      0.9
    0.97 -15.4114     0.91
    0.98  -14.863     0.92
    0.99 -14.3478     0.92
       1 -13.8588     0.93
    1.01  -13.379     0.94
    1.02 -12.9313     0.94
    1.03 -12.5006     0.95
    1.04 -12.0805     0.96
    1.05 -11.6897     0.96
    1.06 -11.3087     0.97
    1.07 -10.9397     0.98
    1.08 -10.5971     0.98
    1.09 -10.2591     0.99
     1.1  -9.9338        1
    1.11 -9.63013     1.01
    1.12  -9.3315     1.01
    1.13 -9.04368     1.02
    1.14 -8.77279     1.03
    1.15 -8.50888     1.03
