 kgrid  ValNew  Policy 
     0.85  -6.20146      0.85
     0.86  -5.61284      0.85
     0.87  -5.09292      0.85
     0.88  -4.63226      0.85
     0.89   -4.2229      0.85
      0.9  -3.85811      0.85
     0.91  -3.53216      0.85
     0.92  -3.24017      0.85
     0.93  -2.97796      0.85
     0.94  -2.74194      0.85
     0.95  -2.52903      0.85
     0.96  -2.33654      0.85
     0.97  -2.16216      0.85
     0.98  -2.00388      0.85
     0.99  -1.85993      0.85
        1  -1.72877      0.85
     1.01  -1.60907      0.85
     1.02  -1.49963      0.85
     1.03  -1.39941      0.85
     1.04  -1.30749      0.85
     1.05  -1.22305      0.85
     1.06  -1.14538      0.85
     1.07  -1.07382      0.85
     1.08  -1.00781      0.85
     1.09 -0.946838      0.85
      1.1 -0.890443      0.85
     1.11 -0.838218      0.85
     1.12 -0.789797      0.85
     1.13 -0.744851      0.85
     1.14 -0.703083      0.85
     1.15 -0.664225      0.85
