 kgrid  ValNew  Policy 
    0.85 -16.3882     0.85
    0.86 -15.4335     0.85
    0.87 -14.5995     0.85
    0.88 -13.7988     0.86
    0.89  -13.078     0.86
     0.9 -12.3785     0.87
    0.91 -11.7526     0.87
    0.92 -11.1394     0.88
    0.93 -10.5927     0.89
    0.94  -10.054     0.89
    0.95  -9.5716      0.9
    0.96 -9.09971      0.9
    0.97 -8.67272     0.91
    0.98 -8.25783     0.91
    0.99  -7.8787     0.92
       1 -7.51262     0.92
    1.01   -7.175     0.93
    1.02 -6.85091     0.93
    1.03 -6.54942     0.94
    1.04  -6.2616     0.94
    1.05 -5.99167     0.95
    1.06 -5.73528     0.95
    1.07 -5.49299     0.96
    1.08 -5.26394     0.96
    1.09 -5.04595     0.97
     1.1 -4.84077     0.97
    1.11 -4.64418     0.98
    1.12 -4.45991     0.98
    1.13 -4.28224     0.99
    1.14 -4.11633     0.99
    1.15 -3.95542        1
